,name,dim
350,transformer/decoder_layer_35/moe/linear/w,"[8, 6144, 32768]"
351,transformer/decoder_layer_35/moe/linear_1/w,"[8, 32768, 6144]"
352,transformer/decoder_layer_35/moe/linear_v/w,"[8, 6144, 32768]"
353,transformer/decoder_layer_35/multi_head_attention/key/w,"[6144, 1024]"
354,transformer/decoder_layer_35/multi_head_attention/linear/w,"[6144, 6144]"
355,transformer/decoder_layer_35/multi_head_attention/query/w,"[6144, 6144]"
356,transformer/decoder_layer_35/multi_head_attention/value/w,"[6144, 1024]"
357,transformer/decoder_layer_35/rms_norm/scale,[6144]
358,transformer/decoder_layer_35/rms_norm_1/scale,[6144]
359,transformer/decoder_layer_35/rms_norm_2/scale,[6144]
360,transformer/decoder_layer_35/rms_norm_3/scale,[6144]
361,transformer/decoder_layer_35/router/w,"[6144, 8]"
362,transformer/decoder_layer_36/moe/linear/w,"[8, 6144, 32768]"
363,transformer/decoder_layer_36/moe/linear_1/w,"[8, 32768, 6144]"
364,transformer/decoder_layer_36/moe/linear_v/w,"[8, 6144, 32768]"
365,transformer/decoder_layer_36/multi_head_attention/key/w,"[6144, 1024]"
366,transformer/decoder_layer_36/multi_head_attention/linear/w,"[6144, 6144]"
367,transformer/decoder_layer_36/multi_head_attention/query/w,"[6144, 6144]"
368,transformer/decoder_layer_36/multi_head_attention/value/w,"[6144, 1024]"
369,transformer/decoder_layer_36/rms_norm/scale,[6144]
370,transformer/decoder_layer_36/rms_norm_1/scale,[6144]
371,transformer/decoder_layer_36/rms_norm_2/scale,[6144]
372,transformer/decoder_layer_36/rms_norm_3/scale,[6144]
373,transformer/decoder_layer_36/router/w,"[6144, 8]"
374,transformer/decoder_layer_37/moe/linear/w,"[8, 6144, 32768]"
375,transformer/decoder_layer_37/moe/linear_1/w,"[8, 32768, 6144]"
376,transformer/decoder_layer_37/moe/linear_v/w,"[8, 6144, 32768]"
377,transformer/decoder_layer_37/multi_head_attention/key/w,"[6144, 1024]"
378,transformer/decoder_layer_37/multi_head_attention/linear/w,"[6144, 6144]"
379,transformer/decoder_layer_37/multi_head_attention/query/w,"[6144, 6144]"
380,transformer/decoder_layer_37/multi_head_attention/value/w,"[6144, 1024]"
381,transformer/decoder_layer_37/rms_norm/scale,[6144]
382,transformer/decoder_layer_37/rms_norm_1/scale,[6144]
383,transformer/decoder_layer_37/rms_norm_2/scale,[6144]
384,transformer/decoder_layer_37/rms_norm_3/scale,[6144]
385,transformer/decoder_layer_37/router/w,"[6144, 8]"
386,transformer/decoder_layer_38/moe/linear/w,"[8, 6144, 32768]"
387,transformer/decoder_layer_38/moe/linear_1/w,"[8, 32768, 6144]"
388,transformer/decoder_layer_38/moe/linear_v/w,"[8, 6144, 32768]"
389,transformer/decoder_layer_38/multi_head_attention/key/w,"[6144, 1024]"
390,transformer/decoder_layer_38/multi_head_attention/linear/w,"[6144, 6144]"
391,transformer/decoder_layer_38/multi_head_attention/query/w,"[6144, 6144]"
392,transformer/decoder_layer_38/multi_head_attention/value/w,"[6144, 1024]"
393,transformer/decoder_layer_38/rms_norm/scale,[6144]
394,transformer/decoder_layer_38/rms_norm_1/scale,[6144]
395,transformer/decoder_layer_38/rms_norm_2/scale,[6144]
396,transformer/decoder_layer_38/rms_norm_3/scale,[6144]
397,transformer/decoder_layer_38/router/w,"[6144, 8]"
398,transformer/decoder_layer_39/moe/linear/w,"[8, 6144, 32768]"
399,transformer/decoder_layer_39/moe/linear_1/w,"[8, 32768, 6144]"
